"query","search interest","increase percent"
"receita vegana rápida de fazer",1,"Breakout"
"best vegan cookbooks",0,"Breakout"
"hipismo vegano",0,"Breakout"
"churrasco vegano ideias",0,"4.650%"
"franja vegana",0,"2.650%"
"whey vegano growth",1,"1.650%"
"best vegan cheese",0,"1.400%"
"true vegan",1,"1.000%"
"rakkau proteina vegana",0,"850%"
"growth",1,"750%"
"kit kat vegano",0,"700%"
"creatina vegana",1,"650%"
"vegan tasty",0,"550%"
"vegan food near me",0,"400%"
"rakkau",0,"350%"
"barra de proteina vegana",0,"300%"
"whey protein isolado",0,"300%"
"iogurte vegano vida veg",0,"300%"
"chocolate vegano cacau show",0,"250%"
"whey vegano",3,"250%"
"omega 3 vegano",1,"250%"
"proteína vegana",1,"250%"
"tinta vegana",1,"200%"
"whey protein vegano",1,"190%"
"whey protein",2,"180%"
"best vegan",2,"170%"
"ovo de páscoa vegano",0,"170%"
"botox vegano",0,"150%"
"mel vegano",1,"150%"
"progressiva vegana",1,"140%"
"shampoo vegano marcas",0,"140%"
"whey vegano essential",0,"130%"
"restaurante vegano rio de janeiro",1,"120%"
"esmalte vegano",1,"120%"
"protetor solar vegano",1,"110%"
"proteina vegana",2,"100%"
"vegan protein",1,"100%"
"proteina vegetal",0,"90%"
"iogurte vegano",1,"70%"
"panetone vegano",0,"70%"
"desodorante vegano",1,"60%"
"gelatina vegana",0,"60%"
"shampoo vegano",2,"60%"
"shampoo",3,"50%"
"escova vegana",0,"50%"
"diferença entre vegano e vegetariano",1,"50%"
"ovo de pascoa vegano",0,"50%"
"sabonete vegano",1,"50%"
"vegano come o que",1,"50%"
"manteiga vegana",1,"40%"